ymin	ymax	clickSelects
1959.5	1960.5	1960
1960.5	1961.5	1961
1961.5	1962.5	1962
1962.5	1963.5	1963
1963.5	1964.5	1964
1964.5	1965.5	1965
1965.5	1966.5	1966
1966.5	1967.5	1967
1967.5	1968.5	1968
1968.5	1969.5	1969
1969.5	1970.5	1970
1970.5	1971.5	1971
1971.5	1972.5	1972
1972.5	1973.5	1973
1973.5	1974.5	1974
1974.5	1975.5	1975
1975.5	1976.5	1976
1976.5	1977.5	1977
1977.5	1978.5	1978
1978.5	1979.5	1979
1979.5	1980.5	1980
1980.5	1981.5	1981
1981.5	1982.5	1982
1982.5	1983.5	1983
1983.5	1984.5	1984
1984.5	1985.5	1985
1985.5	1986.5	1986
1986.5	1987.5	1987
1987.5	1988.5	1988
1988.5	1989.5	1989
1989.5	1990.5	1990
1990.5	1991.5	1991
1991.5	1992.5	1992
1992.5	1993.5	1993
1993.5	1994.5	1994
1994.5	1995.5	1995
1995.5	1996.5	1996
1996.5	1997.5	1997
1997.5	1998.5	1998
1998.5	1999.5	1999
1999.5	2000.5	2000
2000.5	2001.5	2001
2001.5	2002.5	2002
2002.5	2003.5	2003
2003.5	2004.5	2004
2004.5	2005.5	2005
2005.5	2006.5	2006
2006.5	2007.5	2007
2007.5	2008.5	2008
2008.5	2009.5	2009
2009.5	2010.5	2010
2010.5	2011.5	2011
