group	size	x	y	row_in_group	na_group
1	2.52556190478726	5.274	69.4961463414634	2	1
1	3.74060376531577	7.785	39.8398292682927	3	1
1	2.12455160695731	2	72.2480487804878	4	1
1	2.82822614822844	3.942	70.351243902439	5	1
1	2.87456970953346	2.381	70.5352195121951	6	1
1	3.40128180544584	7.203	40.4100487804878	7	1
1	4.63681479010722	3.213	69.9904390243903	8	1
1	3.34753017608046	1.66	72.8970731707317	10	2
1	3.90783404365473	1.929	74.9048780487805	11	2
1	2.11699827475486	2.364	72.6731951219512	12	2
1	3.23496642399864	3.092	64.8307317073171	13	2
1	3.0002590912633	2.017	70.8754878048781	14	2
1	2.24316658164136	1.922	72.5323902439024	15	2
1	6.56977331183272	6.075	56.0801951219512	16	2
1	3.53729522242993	1.614	73.8880487804878	17	2
1	3.3099910143749	7.07	47.1799512195122	18	2
1	3.46221365996879	2.02	71.1860975609756	19	2
1	2.30257924042481	4.692	70.6175121951219	20	2
1	3.02210052815396	6.549	47.5598048780488	21	2
1	2.97057522218282	7.021	45.9059024390244	22	2
1	2.21945641616402	3.992	71.3482926829268	24	3
1	3.16150164296467	5.337	53.5039756097561	25	3
1	7.53077055292036	3.848	63.2879024390244	26	3
1	2.22762313259209	2.989	68.2450975609756	27	3
1	2.32128228523173	6.449	47.5907073170732	28	3
1	2.50590814183192	6.012	61.4692682926829	29	3
1	3.53101722284814	2.05	70.3704878048781	30	3
1	2.18792150358714	5.51	70.7670975609756	31	3
1	4.45852811089622	1.69	75.6804878048781	32	3
1	4.58066494711023	6.693	46.0901951219512	33	3
1	2.75983285248631	5.956	49.4568292682927	34	3
1	2.67530611590143	6.036	56.6682926829268	35	3
1	3.23778160703733	1.56	76.0339024390244	36	3
1	3.46934723180713	7.382	52.3520975609756	37	3
1	3.66371270261671	2.65	70.4637804878049	38	3
1	3.50770126584849	6.407	51.9681219512195	39	3
1	17.5546257537237	2.586	67.5349024390244	40	3
1	4.59945265289482	3.744	66.5121951219512	41	3
1	2.77115107334584	3.544	73.5440487804878	42	3
1	3.54308007686992	1.826	73.9392195121951	43	3
1	2.2708460576487	6.174	61.0173170731707	44	3
1	2.40607796057157	2.415	75.131487804878	46	4
1	3.57266202517849	2.02	70.8078048780488	47	4
1	6.33467039008065	1.41	73.3614146341463	48	4
1	2.30227545508825	6.62	48.8978780487805	49	4
1	3.10752871107787	1.427	74.5512195121951	50	4
1	2.13040191581325	3.52	71.4634146341463	51	4
1	3.20926310305847	4.19	63.7797317073171	52	4
1	4.23168124106587	6.58	61.1255609756098	53	4
1	3.41230193449359	4.773	64.1849756097561	54	4
1	2.598672716724	2.08	69.1268292682927	55	4
1	5.35725164624213	5.251	57.3074146341463	56	4
1	2.78511215844894	6.499	44.0036097560976	57	4
1	5.01671841028643	1.936	76.1341463414634	58	4
1	4.98342536269556	6.912	43.7421463414634	59	4
1	3.07556732276138	1.72	74.2980487804878	60	4
1	2.39907908149046	3.813	63.5786829268293	61	4
1	2.13303257148111	6.02	65.3735853658537	62	4
1	5.65897800387574	1.86	74.5	64	5
1	2.42679409812125	5.195	56.5577073170732	65	5
1	5.67523277039885	1.78	74.1780487804878	66	5
1	2.14595882954192	4.243	65.2791707317073	67	5
1	3.04340213629138	2.284	69.4243658536585	68	5
1	3.65977331451118	6.392	53.6894634146342	69	5
1	2.39301716248873	6.305	49.2307804878049	71	6
1	3.05833493759031	6.951	39.8195609756098	72	6
1	2.24316460868735	5.776	43.5227073170732	73	6
1	3.53207545446673	2.024	74.976	74	6
1	3.32812865938892	6.109	58.1876341463415	75	6
1	2.15842612884316	3.12	69.9755365853659	76	6
1	2.45022311034256	6.542	40.858756097561	77	6
1	2.42902436482351	3.301	59.985756097561	78	6
1	3.12330202630349	1.86	75.4292682926829	79	6
1	2.96275342589177	6.062	60.9993414634146	80	6
1	3.05394720082292	1.9	70.4826829268293	81	6
1	3.19514476982687	6.154	51.7144146341464	82	6
1	3.6021822783074	1.92	69.3578048780488	83	6
1	8.04381165151627	4.167	58.5840975609756	84	6
1	2.91385871216146	2.957	73.0037804878049	85	6
1	2.98281169726463	3.13	74.109756097561	86	6
1	15.2459692908683	4.518	56.0903658536585	88	7
1	3.86059699447876	6.407	55.8321219512195	89	7
1	5.177720078229	6.517	50.3404146341463	90	7
1	2.23467267214871	2.26	77.0378048780488	91	7
1	5.68272798067633	1.592	74.8146341463415	92	7
1	2.17364772411549	1.434	73.7959268292683	93	7
1	2.725759975742	3.559	70.854	94	7
1	2.75168157858177	7.098	67.8975121951219	95	7
1	7.33030919147068	1.77	76.9229268292683	96	7
1	4.05211621735539	7.27	58.662512195122	97	7
1	2.94907543355518	4.068	63.6237317073171	98	7
1	3.29014135064649	6.57	45.2767317073171	99	7
1	2.11283176078549	4.5	51.9048780487805	100	7
1	2.28123316467208	7.033	52.7775853658537	101	7
1	2.09607786959172	3.3	63.9512195121951	102	7
1	4.07185776409572	2.797	68.4544390243902	103	7
1	5.07121913978868	2.42	66.7742682926829	104	7
1	2.61519054208321	4.8844	66.1626829268293	105	7
1	2.60040216582815	5.14	71.0304878048781	106	7
1	3.91203701755415	3	66.7878048780488	108	8
1	2.90163024829724	6.345	49.5226829268293	109	8
1	2.79397603233932	3.924	66.9278536585366	110	8
1	2.16743564788503	4.328	69.8558536585366	111	8
1	3.90896530323394	3.222	68.972	113	9
1	2.69817021050055	6.964	43.6984878048781	114	9
1	2.57321504336039	5.491	54.7937073170732	115	9
1	2.91009462063424	1.99	70.8368292682927	116	9
1	2.29437170981288	1.49	72.5257073170732	117	9
1	2.77853845154584	1.97	69.3282926829268	118	9
1	2.89482726690518	7.189	61.9303414634146	119	9
1	4.23173192072636	5.416	59.2085853658537	120	9
1	2.91099309621537	2.546	65.0227073170732	122	10
1	2.37341303884313	2.2	73.9569268292683	123	10
1	3.48687868053304	6.24	48.8771707317073	125	11
1	2.67837492929813	2.347	69.7059268292683	127	12
1	3.29583306561152	7.07	40.6205609756098	128	12
1	4.94314943956237	4.346	55.2640975609756	129	12
1	2.65223396221068	5.867	57.709	130	12
1	2.2481180803598	1.882	73.8723902439024	131	12
1	2.62340731140722	6.315	53.8998292682927	133	13
1	2.27775724480394	1.98	73.398756097561	134	13
1	2.48644920724276	2.412	67.7751707317073	135	13
1	2.19638235123739	7.21	54.7048536585366	136	13
1	3.25395214070241	7.342	45.0775609756098	137	13
1	6.19639601343482	4.333	67.4910975609756	138	13
1	3.86752483281506	3.725	67.9913902439024	139	13
1	3.74712147177258	6.457	42.7990243902439	140	13
1	2.50245973679053	6.259	58.7314878048781	141	13
1	2.18340073715591	3.14	68.3170731707317	142	13
1	3.2159280004856	7.748	39.7782195121951	143	13
1	6.31793779794478	6.768	45.762512195122	144	13
1	2.90743364111705	5.89	59.2408292682927	145	13
1	3.85263664527004	1.495	75.9885365853659	146	13
1	2.99298410306005	1.69	76.0109756097561	147	13
1	3.90059053258693	5.744	49.3022195121951	148	13
1	2.86951147810136	1.95	73.7243902439024	149	13
1	2.55531733289954	8.352	62.8887804878049	150	13
1	2.70670852937511	3.552	70.6083414634146	151	13
1	4.0893970163824	4.729	61.2188292682927	152	13
1	2.19381883208339	3.839	65.93	153	13
1	2.90196913024964	5.515	54.0581219512195	154	13
1	5.46541859931362	4.978	63.5998048780488	155	13
1	6.53131776759389	6.483	58.5519756097561	156	13
1	4.94785385729931	2.336	71.1024390243903	157	13
1	2.88609253956469	2.49	73.9843658536585	158	13
1	3.54161672059062	2.19	72.4146341463415	160	14
1	2.901211257768	5.191	66.9393902439025	162	15
1	2.25588735475491	5.502	71.9208780487805	163	15
1	4.32376925819676	2.166	69.5317073170732	164	15
1	7.81198847812076	2.04	67.8060975609756	166	16
1	3.14663815548959	8.284	49.6565365853659	167	16
1	3.63677549014833	7.05	63.9366341463415	168	16
1	2.24104728057966	6.525	58.678756097561	169	16
1	2.12146069130511	3.5	68.6829268292683	170	16
1	3.92604146962973	6.361	50.0251463414634	171	16
1	3.41280391724488	1.65	76.3273170731707	172	16
1	2.79619639124795	1.706	72.1640487804878	173	16
1	2.67617990650713	1.93	71.0536585365854	174	16
1	3.1007165404914	2.28	70.6890243902439	175	16
1	2.89330399709137	5.524	43.8061463414634	176	16
1	3.18804595734667	7.323	48.9146829268293	178	17
1	3.22612110595168	6.749	43.8604878048781	179	17
1	2.29533576258761	3.708	66.4660975609756	180	17
1	2.15057861401446	6.271	59.7721951219512	182	18
1	3.07308197173047	4.87	57.3509268292683	183	18
1	3.51823942505091	6.843	67.2638048780488	185	19
1	2.39030118949503	6.573	55.5703902439024	186	19
1	3.063123305486	6.756	48.8228048780488	188	20
1	2.83560715005278	7.097	50.3641951219512	189	20
1	5.43690449782498	3.024	67.2846341463415	190	20
1	2.99685812672258	5.561	62.6693170731707	191	20
1	2.37693185944729	5.13	38.0129024390244	192	20
1	2.84809989223802	4.836	61.4511707317073	193	20
1	3.27009860990226	5.018	63.7185609756097	194	20
1	2.14644366625637	5.475	68.0494878048781	195	20
1	5.32157097526699	4.188	58.0432682926829	196	20
1	2.51747698539047	3.253	67.7046097560976	197	20
1	4.18450437372088	6.58	50.8036829268293	199	21
1	5.47634144376015	1.98	69.0993658536586	200	21
1	3.78750995395316	7.101	49.935512195122	201	21
1	9.45452218238893	1.8275	74.3609756097561	202	21
1	2.84120605426518	2.614	70.7925853658537	203	21
1	4.01255277902528	4.829	65.915756097561	204	21
1	2.15326285169456	3.692	66.5121951219512	205	21
1	3.95823932999947	4.014	68.8403170731708	206	21
1	2.15310469131095	3.74	72.0364634146342	207	21
1	5.6547222000948	5.004	58.1200243902439	208	21
1	2.16763824578392	5.43	59.6648780487805	209	21
1	2.19165199457132	4.816	60.966512195122	210	21
1	3.43234366841489	9.185	50.8928780487805	211	21
1	4.63603092814395	4.602	58.165756097561	212	21
1	3.2225762829542	7.015	51.9751463414634	213	21
1	3.37420357701604	6.811	60.2358780487805	214	21
